locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOBIDPDJ_00039	CDS	192				hypothetical protein
HOBIDPDJ_00040	CDS	276				hypothetical protein
HOBIDPDJ_00041	CDS	453				hypothetical protein
HOBIDPDJ_00042	CDS	390				hypothetical protein
HOBIDPDJ_00043	CDS	225	ycbX_1		COG0633	putative protein YcbX
HOBIDPDJ_00044	CDS	885				hypothetical protein
HOBIDPDJ_00045	CDS	501				hypothetical protein
HOBIDPDJ_00046	CDS	540				hypothetical protein
HOBIDPDJ_00047	CDS	336				hypothetical protein
HOBIDPDJ_00048	CDS	1797				hypothetical protein
HOBIDPDJ_00049	CDS	795				hypothetical protein
HOBIDPDJ_00050	CDS	522				hypothetical protein
HOBIDPDJ_00051	CDS	1011				hypothetical protein
HOBIDPDJ_00052	CDS	990				hypothetical protein
HOBIDPDJ_00053	CDS	528	ssb_1			Single-stranded DNA-binding protein
HOBIDPDJ_00054	CDS	909				hypothetical protein
HOBIDPDJ_00055	CDS	969	cobS_1	6.6.1.2		Aerobic cobaltochelatase subunit CobS
HOBIDPDJ_00056	CDS	186				hypothetical protein
HOBIDPDJ_00057	CDS	321				hypothetical protein
HOBIDPDJ_00058	CDS	642				hypothetical protein
HOBIDPDJ_00059	CDS	861				hypothetical protein
HOBIDPDJ_00060	CDS	2799				hypothetical protein
HOBIDPDJ_00061	CDS	1008				hypothetical protein
HOBIDPDJ_00062	CDS	672				hypothetical protein
HOBIDPDJ_00063	CDS	1266				hypothetical protein
HOBIDPDJ_00064	CDS	531				hypothetical protein
HOBIDPDJ_00065	CDS	318				hypothetical protein
HOBIDPDJ_00066	CDS	2448	traC_1			Protein TraC
HOBIDPDJ_00067	CDS	708	dsbC_1		COG1651	Thiol:disulfide interchange protein DsbC
HOBIDPDJ_00068	CDS	5532				hypothetical protein
HOBIDPDJ_00069	CDS	384				hypothetical protein
HOBIDPDJ_00070	CDS	579				hypothetical protein
HOBIDPDJ_00071	CDS	1317				hypothetical protein
HOBIDPDJ_00072	CDS	918				hypothetical protein
HOBIDPDJ_00073	CDS	627				hypothetical protein
HOBIDPDJ_00074	CDS	378				hypothetical protein
HOBIDPDJ_00075	CDS	144				hypothetical protein
HOBIDPDJ_00076	CDS	663				hypothetical protein
HOBIDPDJ_00077	CDS	378				hypothetical protein
HOBIDPDJ_00078	CDS	447				hypothetical protein
HOBIDPDJ_00079	CDS	630				hypothetical protein
HOBIDPDJ_00080	CDS	546				hypothetical protein
HOBIDPDJ_00081	CDS	1866				hypothetical protein
HOBIDPDJ_00082	CDS	2979				hypothetical protein
HOBIDPDJ_00083	CDS	618				hypothetical protein
HOBIDPDJ_00084	CDS	2193	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
HOBIDPDJ_00085	CDS	489				hypothetical protein
HOBIDPDJ_00086	CDS	279				hypothetical protein
HOBIDPDJ_00087	CDS	207				hypothetical protein
HOBIDPDJ_00088	CDS	618				hypothetical protein
HOBIDPDJ_00089	CDS	219				hypothetical protein
HOBIDPDJ_00090	CDS	264				hypothetical protein
HOBIDPDJ_00091	CDS	657				hypothetical protein
HOBIDPDJ_00092	CDS	1428				hypothetical protein
HOBIDPDJ_00093	CDS	501				hypothetical protein
HOBIDPDJ_00094	CDS	312				hypothetical protein
HOBIDPDJ_00095	CDS	507				hypothetical protein
HOBIDPDJ_00096	CDS	675				hypothetical protein
HOBIDPDJ_00097	CDS	282				hypothetical protein
HOBIDPDJ_00098	CDS	378				hypothetical protein
HOBIDPDJ_00099	CDS	636				hypothetical protein
HOBIDPDJ_00100	CDS	1182	noc			Nucleoid occlusion protein
HOBIDPDJ_00101	CDS	786	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
HOBIDPDJ_00102	CDS	312				hypothetical protein
HOBIDPDJ_00103	CDS	816	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
HOBIDPDJ_00104	CDS	804	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase
HOBIDPDJ_00105	CDS	837				hypothetical protein
HOBIDPDJ_00106	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
HOBIDPDJ_00107	CDS	1371				IS1182 family transposase ISCfr1
HOBIDPDJ_00108	CDS	1137				hypothetical protein
HOBIDPDJ_00109	CDS	543	tmrB			Tunicamycin resistance protein
HOBIDPDJ_00110	CDS	861	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
HOBIDPDJ_00111	CDS	198				hypothetical protein
HOBIDPDJ_00112	CDS	534		2.7.8.-		Cardiolipin synthase
HOBIDPDJ_00113	CDS	996			COG0630	Type IV secretion system protein VirB11
HOBIDPDJ_00114	CDS	1161				Protein virB10
HOBIDPDJ_00115	CDS	885	virB9			Type IV secretion system protein virB9
HOBIDPDJ_00116	CDS	318	virB8			Type IV secretion system protein virB8
HOBIDPDJ_00117	CDS	489				hypothetical protein
HOBIDPDJ_00118	CDS	564				hypothetical protein
HOBIDPDJ_00119	CDS	429				hypothetical protein
HOBIDPDJ_00120	CDS	213				hypothetical protein
HOBIDPDJ_00121	CDS	1185				hypothetical protein
HOBIDPDJ_00122	CDS	195				hypothetical protein
HOBIDPDJ_00123	CDS	393				hypothetical protein
HOBIDPDJ_00124	CDS	330				hypothetical protein
HOBIDPDJ_00125	CDS	147				hypothetical protein
HOBIDPDJ_00126	CDS	1464	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
HOBIDPDJ_00127	CDS	933				hypothetical protein
HOBIDPDJ_00128	CDS	264				hypothetical protein
HOBIDPDJ_00129	CDS	498				hypothetical protein
HOBIDPDJ_00130	CDS	489				hypothetical protein
HOBIDPDJ_00131	CDS	336				hypothetical protein
HOBIDPDJ_00132	CDS	471				hypothetical protein
HOBIDPDJ_00133	CDS	372				hypothetical protein
HOBIDPDJ_00134	CDS	195				hypothetical protein
HOBIDPDJ_00135	CDS	252				hypothetical protein
HOBIDPDJ_00136	CDS	549				hypothetical protein
HOBIDPDJ_00137	CDS	351	higB2		COG4683	Putative toxin HigB2
HOBIDPDJ_00138	CDS	303				hypothetical protein
HOBIDPDJ_00139	CDS	273	hupB_1		COG0776	DNA-binding protein HU-beta
HOBIDPDJ_00140	CDS	528				hypothetical protein
HOBIDPDJ_00141	CDS	858				hypothetical protein
HOBIDPDJ_00142	CDS	228				hypothetical protein
HOBIDPDJ_00143	CDS	519				hypothetical protein
HOBIDPDJ_00144	CDS	447				hypothetical protein
HOBIDPDJ_00145	CDS	360				hypothetical protein
HOBIDPDJ_00146	CDS	429				hypothetical protein
HOBIDPDJ_00147	CDS	861				hypothetical protein
HOBIDPDJ_00148	CDS	960				hypothetical protein
HOBIDPDJ_00149	CDS	855				hypothetical protein
HOBIDPDJ_00150	CDS	294				hypothetical protein
HOBIDPDJ_00151	CDS	474				hypothetical protein
HOBIDPDJ_00152	CDS	522				hypothetical protein
HOBIDPDJ_00153	CDS	522				hypothetical protein
HOBIDPDJ_00154	CDS	609				hypothetical protein
HOBIDPDJ_00155	CDS	1116				hypothetical protein
HOBIDPDJ_00156	CDS	435				hypothetical protein
HOBIDPDJ_00157	CDS	282				hypothetical protein
HOBIDPDJ_00158	CDS	1065				hypothetical protein
HOBIDPDJ_00159	CDS	288				hypothetical protein
HOBIDPDJ_00160	CDS	540				hypothetical protein
HOBIDPDJ_00161	CDS	984				hypothetical protein
HOBIDPDJ_00162	CDS	294				hypothetical protein
HOBIDPDJ_00163	CDS	420				hypothetical protein
HOBIDPDJ_00164	CDS	552	flhC_1			Flagellar transcriptional regulator FlhC
HOBIDPDJ_00165	CDS	666				hypothetical protein
HOBIDPDJ_00166	CDS	534				hypothetical protein
HOBIDPDJ_00167	CDS	363				hypothetical protein
HOBIDPDJ_00168	CDS	3615				hypothetical protein
HOBIDPDJ_00169	CDS	1434				hypothetical protein
HOBIDPDJ_00170	CDS	1029				hypothetical protein
HOBIDPDJ_00171	CDS	1512	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
HOBIDPDJ_00172	CDS	279				hypothetical protein
HOBIDPDJ_00173	CDS	1041	smc_1			Chromosome partition protein Smc
HOBIDPDJ_00174	CDS	576				hypothetical protein
HOBIDPDJ_00175	CDS	270				hypothetical protein
HOBIDPDJ_00176	CDS	1014	xerC_2			Tyrosine recombinase XerC
HOBIDPDJ_00177	CDS	498				IS1595 family transposase ISSsu9
HOBIDPDJ_00178	CDS	780	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
HOBIDPDJ_00179	CDS	348	emrE_1		COG2076	Multidrug transporter EmrE
HOBIDPDJ_00180	CDS	972				hypothetical protein
HOBIDPDJ_00181	CDS	1215	ydhC_1			Inner membrane transport protein YdhC
HOBIDPDJ_00182	CDS	627	tetR_1			Tetracycline repressor protein class G
HOBIDPDJ_00183	CDS	1176	tetA_1			Tetracycline resistance protein, class C
HOBIDPDJ_00184	CDS	462	hin		COG1961	DNA-invertase hin
HOBIDPDJ_00185	CDS	630				hypothetical protein
HOBIDPDJ_00186	CDS	1026	btuB_1			Vitamin B12 transporter BtuB
HOBIDPDJ_00187	CDS	876	bla_2	3.5.2.6		Beta-lactamase CTX-M-97
HOBIDPDJ_00188	CDS	135				hypothetical protein
HOBIDPDJ_00189	CDS	756				hypothetical protein
HOBIDPDJ_00190	CDS	450				hypothetical protein
HOBIDPDJ_00191	CDS	459				hypothetical protein
HOBIDPDJ_00192	CDS	867	murI	5.1.1.3	COG0796	Glutamate racemase
HOBIDPDJ_00193	CDS	1686	btuB_2		COG4206	Vitamin B12 transporter BtuB
HOBIDPDJ_00194	CDS	1098	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
HOBIDPDJ_00195	CDS	402	yijD			Inner membrane protein YijD
HOBIDPDJ_00196	CDS	681	fabR		COG1309	HTH-type transcriptional repressor FabR
HOBIDPDJ_00197	CDS	1398	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
HOBIDPDJ_00198	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
HOBIDPDJ_00199	CDS	1383	argH	4.3.2.1	COG0165	Argininosuccinate lyase
HOBIDPDJ_00200	CDS	1212	argG	6.3.4.5	COG0137	Argininosuccinate synthase
HOBIDPDJ_00201	CDS	774	argB	2.7.2.8	COG0548	Acetylglutamate kinase
HOBIDPDJ_00202	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
HOBIDPDJ_00203	CDS	1164	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
HOBIDPDJ_00204	CDS	1725	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
HOBIDPDJ_00205	CDS	822				hypothetical protein
HOBIDPDJ_00206	CDS	450				hypothetical protein
HOBIDPDJ_00207	CDS	1182		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
HOBIDPDJ_00208	CDS	1014	cysB_1			HTH-type transcriptional regulator CysB
HOBIDPDJ_00209	CDS	1503	proP_1			Proline/betaine transporter
HOBIDPDJ_00210	CDS	1431	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
HOBIDPDJ_00211	CDS	984	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HOBIDPDJ_00212	CDS	2637	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
HOBIDPDJ_00213	CDS	162				hypothetical protein
HOBIDPDJ_00214	CDS	519				hypothetical protein
HOBIDPDJ_00215	CDS	2439	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
HOBIDPDJ_00216	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
HOBIDPDJ_00217	CDS	318	metJ		COG3060	Met repressor
HOBIDPDJ_00218	CDS	1305	yjjJ	2.-.-.-		Toxin YjjJ
HOBIDPDJ_00219	CDS	213	rpmE		COG0254	50S ribosomal protein L31
HOBIDPDJ_00220	CDS	2202	priA	3.6.4.-	COG1198	Primosomal protein N'
HOBIDPDJ_00221	CDS	1032	cytR		COG1609	HTH-type transcriptional repressor CytR
HOBIDPDJ_00222	CDS	777	ftsN		COG3087	Cell division protein FtsN
HOBIDPDJ_00223	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
HOBIDPDJ_00224	CDS	1341	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
HOBIDPDJ_00225	CDS	918	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
HOBIDPDJ_00226	CDS	519	rraA		COG0684	Regulator of ribonuclease activity A
HOBIDPDJ_00227	CDS	258	zapB		COG3074	Cell division protein ZapB
HOBIDPDJ_00228	CDS	816	glpF		COG0580	Glycerol uptake facilitator protein
HOBIDPDJ_00229	CDS	1533	glpK	2.7.1.30	COG0554	Glycerol kinase
HOBIDPDJ_00230	CDS	1185	emrD			Multidrug resistance protein D
HOBIDPDJ_00231	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
HOBIDPDJ_00232	CDS	429				hypothetical protein
HOBIDPDJ_00233	CDS	636				hypothetical protein
HOBIDPDJ_00234	CDS	771	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
HOBIDPDJ_00235	CDS	1005	sbp		COG1613	Sulfate-binding protein
HOBIDPDJ_00236	CDS	978	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
HOBIDPDJ_00237	CDS	756	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
HOBIDPDJ_00238	CDS	312	higA-2		COG2944	Antitoxin HigA-2
HOBIDPDJ_00239	CDS	567				hypothetical protein
HOBIDPDJ_00240	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
HOBIDPDJ_00241	CDS	1368	cpxA	2.7.13.3		Sensor histidine kinase CpxA
HOBIDPDJ_00242	CDS	894				hypothetical protein
HOBIDPDJ_00243	CDS	990	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HOBIDPDJ_00244	CDS	783	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HOBIDPDJ_00245	CDS	1221				hypothetical protein
HOBIDPDJ_00246	CDS	1173				hypothetical protein
HOBIDPDJ_00247	CDS	1191				hypothetical protein
HOBIDPDJ_00248	CDS	1170	glgA	2.4.1.21		Glycogen synthase
HOBIDPDJ_00249	CDS	1113	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
HOBIDPDJ_00250	CDS	1167	ugd_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
HOBIDPDJ_00251	CDS	1011	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
HOBIDPDJ_00252	CDS	504	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
HOBIDPDJ_00253	CDS	555	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
HOBIDPDJ_00254	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
HOBIDPDJ_00255	CDS	1014	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
HOBIDPDJ_00256	CDS	474	secB		COG1952	Protein-export protein SecB
HOBIDPDJ_00257	CDS	438	yibN		COG0607	putative protein YibN
HOBIDPDJ_00258	CDS	1332	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
HOBIDPDJ_00259	CDS	1293	envC		COG4942	Murein hydrolase activator EnvC
HOBIDPDJ_00260	CDS	969			COG2861	putative protein
HOBIDPDJ_00261	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
HOBIDPDJ_00262	CDS	1200	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
HOBIDPDJ_00263	CDS	939	hldD_1	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
HOBIDPDJ_00264	CDS	1053	rfaF_1	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
HOBIDPDJ_00265	CDS	963	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
HOBIDPDJ_00266	CDS	909				hypothetical protein
HOBIDPDJ_00267	CDS	1062	rfaF_2	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
HOBIDPDJ_00268	CDS	963				hypothetical protein
HOBIDPDJ_00269	CDS	1098	pglJ_1	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
HOBIDPDJ_00270	CDS	1131	rfaG_1	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
HOBIDPDJ_00271	CDS	1065	rfaQ_1	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
HOBIDPDJ_00272	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
HOBIDPDJ_00273	CDS	780				hypothetical protein
HOBIDPDJ_00274	CDS	486	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
HOBIDPDJ_00275	CDS	825	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
HOBIDPDJ_00276	CDS	1269				hypothetical protein
HOBIDPDJ_00277	CDS	1179	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HOBIDPDJ_00278	CDS	1107	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HOBIDPDJ_00279	CDS	1002				hypothetical protein
HOBIDPDJ_00280	CDS	1128	mshA_3	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
HOBIDPDJ_00281	CDS	168	rpmG		COG0267	50S ribosomal protein L33
HOBIDPDJ_00282	CDS	237	rpmB		COG0227	50S ribosomal protein L28
HOBIDPDJ_00283	CDS	672				hypothetical protein
HOBIDPDJ_00284	CDS	1209	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
HOBIDPDJ_00285	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
HOBIDPDJ_00286	CDS	606	slmA_1			Nucleoid occlusion factor SlmA
HOBIDPDJ_00287	CDS	645	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
HOBIDPDJ_00288	CDS	717	rph	2.7.7.56		Ribonuclease PH
HOBIDPDJ_00289	CDS	864				hypothetical protein
HOBIDPDJ_00290	CDS	222				hypothetical protein
HOBIDPDJ_00291	CDS	999				IS481 family transposase ISRhba4
HOBIDPDJ_00292	CDS	183				hypothetical protein
HOBIDPDJ_00293	CDS	1257	fokIM	2.1.1.72		Modification methylase FokI
HOBIDPDJ_00294	CDS	1536				hypothetical protein
HOBIDPDJ_00295	CDS	2346				hypothetical protein
HOBIDPDJ_00296	CDS	231				hypothetical protein
HOBIDPDJ_00297	CDS	207				IS3 family transposase ISYal1
HOBIDPDJ_00298	CDS	900	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
HOBIDPDJ_00299	CDS	564	olsG	2.1.1.344		Ornithine lipid N-methyltransferase
HOBIDPDJ_00300	CDS	1107	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
HOBIDPDJ_00301	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
HOBIDPDJ_00302	CDS	1089	recF_1		COG1195	DNA replication and repair protein RecF
HOBIDPDJ_00303	CDS	1104	dnaN		COG0592	Beta sliding clamp
HOBIDPDJ_00304	CDS	1401	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HOBIDPDJ_00305	CDS	144	rpmH		COG0230	50S ribosomal protein L34
HOBIDPDJ_00306	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
HOBIDPDJ_00307	CDS	1641	yidC			Membrane protein insertase YidC
HOBIDPDJ_00308	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
HOBIDPDJ_00309	CDS	258	hipB		COG1396	Antitoxin HipB
HOBIDPDJ_00310	CDS	1314	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
HOBIDPDJ_00311	CDS	465	ycdZ			Inner membrane protein YcdZ
HOBIDPDJ_00312	CDS	930	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HOBIDPDJ_00313	CDS	1962				hypothetical protein
HOBIDPDJ_00314	CDS	804				hypothetical protein
HOBIDPDJ_00315	CDS	3078				hypothetical protein
HOBIDPDJ_00316	CDS	1353				hypothetical protein
HOBIDPDJ_00317	CDS	801				hypothetical protein
HOBIDPDJ_00318	CDS	888	benM_1			HTH-type transcriptional regulator BenM
HOBIDPDJ_00319	CDS	972	ramA	3.5.1.100		(R)-stereoselective amidase
HOBIDPDJ_00320	CDS	543				hypothetical protein
HOBIDPDJ_00321	CDS	876				hypothetical protein
HOBIDPDJ_00322	CDS	762				hypothetical protein
HOBIDPDJ_00323	CDS	831	fdhD		COG1526	Sulfur carrier protein FdhD
HOBIDPDJ_00324	CDS	588	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
HOBIDPDJ_00325	CDS	2412	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
HOBIDPDJ_00326	CDS	939	fdoH_1		COG0437	Formate dehydrogenase-O iron-sulfur subunit
HOBIDPDJ_00327	CDS	657	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
HOBIDPDJ_00328	CDS	921	fdhE		COG3058	Protein FdhE
HOBIDPDJ_00329	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
HOBIDPDJ_00330	CDS	1863	selB		COG3276	Selenocysteine-specific elongation factor
HOBIDPDJ_00331	CDS	1650				hypothetical protein
HOBIDPDJ_00332	CDS	1038	celY	3.2.1.4	COG3405	Minor endoglucanase Y
HOBIDPDJ_00333	CDS	963	galU_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
HOBIDPDJ_00334	CDS	906				hypothetical protein
HOBIDPDJ_00335	CDS	471				hypothetical protein
HOBIDPDJ_00336	CDS	3687	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
HOBIDPDJ_00337	CDS	2349	bcsB_1			Cyclic di-GMP-binding protein
HOBIDPDJ_00338	CDS	2115	bcsA_1	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
HOBIDPDJ_00339	CDS	396				hypothetical protein
HOBIDPDJ_00340	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
HOBIDPDJ_00341	CDS	585				hypothetical protein
HOBIDPDJ_00342	CDS	405	ygiW		COG3111	Protein YgiW
HOBIDPDJ_00343	CDS	666				hypothetical protein
HOBIDPDJ_00344	CDS	657				hypothetical protein
HOBIDPDJ_00345	CDS	663				hypothetical protein
HOBIDPDJ_00346	CDS	639				hypothetical protein
HOBIDPDJ_00347	CDS	315				hypothetical protein
HOBIDPDJ_00348	CDS	1914	htrE_1		COG3188	Outer membrane usher protein HtrE
HOBIDPDJ_00349	CDS	675				hypothetical protein
HOBIDPDJ_00350	CDS	450				hypothetical protein
HOBIDPDJ_00351	CDS	1521	farB			Fatty acid resistance protein FarB
HOBIDPDJ_00352	CDS	1101	emrA_1			Colistin resistance protein EmrA
HOBIDPDJ_00353	CDS	639	tetR_2			Tetracycline repressor protein class E
HOBIDPDJ_00354	CDS	1407				hypothetical protein
HOBIDPDJ_00355	CDS	1134	cpg2	3.4.17.11		Carboxypeptidase G2
HOBIDPDJ_00356	CDS	813	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
HOBIDPDJ_00357	CDS	288				hypothetical protein
HOBIDPDJ_00358	CDS	1128	soxA	1.5.3.1		Monomeric sarcosine oxidase
HOBIDPDJ_00359	CDS	1011			COG1840	putative protein
HOBIDPDJ_00360	CDS	1692				hypothetical protein
HOBIDPDJ_00361	CDS	1077	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
HOBIDPDJ_00362	CDS	1827	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HOBIDPDJ_00363	CDS	1374	glmU			Bifunctional protein GlmU
HOBIDPDJ_00364	CDS	417	atpC		COG0355	ATP synthase epsilon chain
HOBIDPDJ_00365	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
HOBIDPDJ_00366	CDS	864	atpG		COG0224	ATP synthase gamma chain
HOBIDPDJ_00367	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
HOBIDPDJ_00368	CDS	534	atpH		COG0712	ATP synthase subunit delta
HOBIDPDJ_00369	CDS	471	atpF		COG0711	ATP synthase subunit b
HOBIDPDJ_00370	CDS	240	atpE		COG0636	ATP synthase subunit c
HOBIDPDJ_00371	CDS	825	atpB		COG0356	ATP synthase subunit a
HOBIDPDJ_00372	CDS	378	atpI		COG3312	ATP synthase protein I
HOBIDPDJ_00373	CDS	627	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
